rank,molport_number,smiles,combined_score,boltz_prob_mean,boltz_pred_value_mean,passes_confidence,mw,heavy_atoms,num_atoms,logp,hbd,hba,rotatable_bonds,pains
24,MolPort-002-524-038,C[C@H]1[C@H]2[C@H](CC3[C@@H]4CC[C@H]5C[C@@H](CC[C@]5(C)C4CC(=O)[C@]23C)OC(C)=O)O[C@]11CC[C@@H](C)CO1,999.0,0.2062071561813354,1.2148528496424358,False,472.6660000000004,34,34,5.543600000000006,0,5,1,False
25,MolPort-002-526-599,CO[C@H]1C[C@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)O[C@H](C)[C@H]1O,999.0,0.2411458790302276,0.6912440657615662,False,548.6730000000005,39,39,2.4333000000000005,3,9,5,False
26,MolPort-002-528-529,C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@H](CC[C@]34C=O)OC3OCC(O)C(O)C3O)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1,999.0,0.2256174137194951,0.9532346725463868,False,536.6180000000002,38,38,0.3615000000000004,5,10,4,False
27,MolPort-002-531-631,O=C1CC2=C[C@H](NCCc3c[nH]c4ccccc34)[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31,999.0,0.1748336503903071,0.4946817507346471,False,377.4880000000003,28,28,2.921100000000001,2,4,4,False
28,MolPort-002-534-172,NC(CSCc1ccccc1)C(O)=O,999.0,0.2698976397514343,1.0077040195465088,False,211.286,14,14,1.3317,2,3,5,False
29,MolPort-001-741-019,CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)C(CCC4[C@@]5(C)[C@H]([C@H](O)C(C)(C)C5CC[C@@]34C)C(O)=O)C12)C(O)=O,999.0,0.1801301091909408,0.6721013188362122,False,486.6930000000003,35,35,6.010100000000005,3,3,3,False
30,MolPort-001-741-100,OC1COC(OCC2OC(Oc3cc(O)cc4oc(=O)cc(-c5ccc(O)c(O)c5)c34)C(O)C(O)C2O)C(O)C1O,999.0,0.4611230790615082,0.4317354659239451,False,580.4950000000003,41,41,-1.7812000000000012,9,15,6,True
31,MolPort-001-741-103,COc1cc(OC2OC(COC3OCC(O)(CO)C3O)C(O)C(O)C2O)c2c(cc(=O)oc2c1)-c1ccc(O)c(O)c1,999.0,0.3777085443337758,0.0633560729523499,False,594.5220000000003,42,42,-1.4765999999999986,8,15,8,True
32,MolPort-000-733-857,[I-].C[N+](C)(C)CCc1ccc(O)cc1,999.0,,,False,307.175,14,14,-1.355099999999997,1,1,3,False
33,MolPort-003-938-764,[Cl-].COc1cc(cc(OC)c1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,999.0,,,False,528.8940000000002,36,36,-2.3024,7,11,6,False
34,MolPort-003-933-186,CCCCCCCC\C=C/CCCCCCCCCC(O)=O,999.0,0.2129316081603368,0.4304376244544983,False,310.522,22,22,6.888700000000007,1,1,17,False
35,MolPort-003-926-266,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NCc3ccccc3)ncnc12,999.0,0.2165805647770563,0.3808171401421229,False,357.37000000000006,26,26,0.0498999999999989,4,8,5,False
36,MolPort-002-534-834,CC(C)(O)CC[C@@H](O)[C@](C)(O)C1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,999.0,0.0789053961634635,0.8703848719596863,False,464.6430000000004,33,33,2.8832000000000013,5,6,5,False
37,MolPort-005-909-647,COc1ccc(cc1OC)C(=O)O[C@H]1CC(C)=C2[C@@H](C3OC(=O)[C@@](C)(OC(=O)C=C(C)C)[C@H]13)C(C)=CC2=O,999.0,0.2828014443318049,0.3047084733843803,False,524.5660000000003,38,38,3.9043000000000014,0,9,6,False
38,MolPort-005-909-607,CC1(C)CCC23CC[C@]4(C)C(CCC5[C@@]6(C)CCC(O)C(C)(C)C6CC[C@@]45C)C2C1OC3=O,999.0,0.1514136344194412,1.2582674026489258,False,456.7110000000002,33,33,6.764200000000008,1,3,0,False
39,MolPort-003-939-085,[Cl-].COc1cc(cc(OC)c1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,999.0,,,False,528.8940000000002,36,36,-2.3024,7,11,6,False
40,MolPort-004-964-394,O[C@H]1CC(=O)c2c(O)ccc3-c4ccc(O)c5C(=O)CC[C@@](O)([C@H]1c23)c45,999.0,0.4746582011381785,1.497422417004903,False,352.34200000000016,26,26,1.9734,4,6,0,False
41,MolPort-005-945-255,CC(C)(O)\C=C\C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,999.0,0.0785178070267041,0.9317217866579692,False,516.6750000000004,37,37,2.9285000000000005,4,7,4,False
42,MolPort-005-945-283,CC(=O)OC\C(CC[C@@H]1C(C=O)=CC[C@@H]2C(C)(C)CCC[C@@]12C)=C\C(O)=O,999.0,0.2151669263839721,1.0287883480389912,False,376.4930000000002,27,27,4.318500000000004,1,4,7,False
43,MolPort-006-111-374,C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@@H](O)C[C@@H](O)[C@]5(C)[C@H]4CC[C@]23C)O[C@]11CC[C@@H](C)CO1,999.0,0.1327708512544632,1.0179636081059773,False,430.6290000000004,31,31,4.684700000000005,2,4,0,False
44,MolPort-007-561-877,O=C1N(CC2CCCN3CCCCC23)C(=O)c2ccccc12,999.0,0.1342903263866901,0.3664542486270268,False,298.386,22,22,2.5471000000000013,0,3,2,False
45,MolPort-007-980-820,CC(C)C(O)(C(C)O)C(=O)OC[C@@H]1CC[N+]2([O-])CCC[C@@H]12,999.0,0.1235924338301022,0.4206495881080627,False,301.38300000000004,21,21,0.7943999999999996,2,5,5,False
46,MolPort-007-980-889,COC(=O)C12CC[C@H](C1C1CCC3[C@@]4(C)C\C(=C/c5ccccc5)C(=O)C(C)(C)C4CC[C@@]3(C)[C@]1(C)CC2)C(C)=C,999.0,0.074508860707283,0.8850548068682352,False,556.8310000000001,41,41,9.079600000000005,0,3,3,False
47,MolPort-005-943-409,CC(C)c1cc2CC[C@H]3C(C)(C)CCC[C@]3(C(O)=O)c2c(O)c1O,999.0,0.2908088266849518,0.8879299362500509,False,332.44,24,24,4.316100000000005,3,3,2,True
48,MolPort-005-944-491,CCC(C)C(N1Cc2c3O[C@]4(Cc3c(O)cc2C1=O)[C@H](C)CCC1C(C)(C)[C@H](O)[C@H](O)C[C@]41C)C(O)=O,999.0,0.1567105054855346,0.2647181525826454,False,515.6470000000003,37,37,3.725100000000002,4,6,4,False
49,MolPort-019-937-239,C[C@@]12CC[C@@H]3[C@H](OC(=O)C3=C)[C@H]1C(=C)CC[C@H]2O,999.0,0.3574351072311401,0.8223536610603333,False,248.32199999999995,18,18,2.2114000000000007,1,3,0,False
50,MolPort-019-936-732,C[C@@]1(C[C@@H](O)[C@]2(O)C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C12)OC(=O)\C=C\c1ccc(O)cc1,999.0,0.3099362601836522,0.1336680203676223,False,510.4920000000001,36,36,-1.4942999999999993,7,12,6,False
51,MolPort-019-937-322,COc1cc2oc(=O)ccc2cc1C(OC(=O)C(\C)=C/C)C(O)C(C)(C)O,999.0,0.2288963794708252,0.7320384383201599,False,376.4050000000001,27,27,2.4839000000000007,2,7,6,False
52,MolPort-019-937-493,O[C@H]1CO[C@H](COC(=O)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@@H]1O,999.0,0.4336173037687937,-0.008385919034481,False,316.262,22,22,-1.5583000000000005,6,9,3,True
53,MolPort-020-005-933,CC(C)=CCCC(=C)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@@]21C,999.0,0.0908891266832749,0.6664216717084249,False,604.869,43,43,5.130000000000004,5,7,7,False
54,MolPort-020-005-946,C[C@H](C[C@H](OC(C)=O)[C@H]1OC1(C)C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1,999.0,0.1656531741221746,0.5759636064370474,False,514.7470000000004,37,37,6.410900000000008,1,5,5,False
55,MolPort-020-005-780,CCCCCCCCCCCCCc1cccc(O)c1C(O)=O,999.0,0.5493856171766917,0.370003988345464,False,320.473,23,23,5.943900000000006,2,2,13,False
56,MolPort-020-005-858,C1Oc2ccc(O[C@H]3OC[C@H]4[C@@H]3CO[C@@H]4c3ccc4OCOc4c3)cc2O1,999.0,0.2599735508362452,0.7390282154083252,False,370.35700000000014,27,27,2.883000000000001,0,7,3,False
57,MolPort-021-804-684,Cc1coc2C\C(C)=C\CC[C@]3(C)O[C@H]3C(=O)c12,999.0,0.3305560449759165,0.9353972474733988,False,246.30599999999995,18,18,3.210820000000002,0,3,0,False
58,MolPort-020-006-013,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,999.0,0.1870810985565185,0.9809192419052124,False,488.70900000000034,35,35,5.1768000000000045,4,4,2,False
59,MolPort-023-220-661,OC(C(O)C(O)=O)C(O)=O.CCC1=C[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@](C2)([C@@H]13)C(=O)OC,999.0,,,False,486.5210000000003,35,35,1.0526999999999995,5,7,5,False
60,MolPort-023-299-011,CC#CC#Cc1ccc(s1)C#CC(O)CCl,999.0,0.5017101864020029,0.3048275634646415,False,248.73399999999995,16,16,2.0741,1,2,1,False
61,MolPort-028-610-134,CC(O)C(C)\C=C(/C)CCC(O)Cc1cc(O)c(C)c(=O)o1,999.0,0.2476191818714141,0.621968557437261,False,310.39000000000004,22,22,2.3006200000000003,3,5,7,False
62,MolPort-027-720-871,O[C@@H]1C=CC2=CC(=O)O[C@@H]2[C@H]1O,999.0,0.5718806485335032,0.9964723587036132,False,168.148,12,12,-0.8702000000000001,2,4,0,False
63,MolPort-029-887-062,C[C@H]1C[C@@H]2OC(=O)[C@@H](CO)[C@@H]2[C@@H]1CO,999.0,0.3604809145132701,0.3909323116143544,False,200.234,14,14,-0.2152000000000001,2,4,2,False
64,MolPort-001-739-307,C\C=C\C=C\C(=O)C1=C(O)C2(C)C3C(C(=O)\C=C\C=C\C)=C(O)[C@]4(C)C1[C@]1(C)O[C@@]4(O)[C@@]3(C)O[C@]21O,999.0,,,False,496.5560000000003,36,36,3.254200000000002,4,8,6,False
65,MolPort-028-754-126,CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2CC=C2[C@@H]3C[C@@](C)(CC[C@]3(C)CC[C@@]12C)C(O)=O,999.0,0.1096344962716102,0.9177711208661398,False,456.7110000000004,33,33,7.233600000000008,2,2,1,False
66,MolPort-029-943-145,Cc1oc(=O)ccc1CCCC(O)=O,999.0,0.4814360439777374,1.176077624162038,False,196.202,14,14,1.35552,1,3,4,False
67,MolPort-035-705-662,COC(=O)N1c2ccccc2[C@]23CC(=O)C[C@@]4(CCCN(C=O)[C@H]24)CC[C@]13C(=O)OC,999.0,0.2379158685604731,1.2685163418451946,False,426.4690000000002,31,31,2.1865,0,6,2,False
68,MolPort-035-705-811,CC(C)(O)[C@@H](COc1c2occc2cc2ccc(=O)oc12)OC(C)(C)[C@H](O)COc1c2occc2cc2ccc(=O)oc12,999.0,0.2234073231617609,0.6312117377916971,False,590.5810000000004,43,43,5.145200000000005,2,11,10,False
69,MolPort-035-705-856,CC(=O)O[C@@H](CC1=C(O)C(=O)OC1)[C@]1(C)[C@H]2CCC=C(C)[C@]2(C)[C@@H](OC(=O)c2cccnc2)[C@H](O)[C@]1(C)O,999.0,0.3686957607666651,0.912687877813975,False,529.5860000000002,38,38,2.792100000000002,3,10,6,False
70,MolPort-035-706-063,COc1cc(\C=C\CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2[C@@H](CO)[C@@H](Oc12)c1ccc(OC)c(OC)c1,999.0,0.1626755570371945,0.535824586947759,False,534.5580000000003,38,38,0.7516999999999987,5,11,10,False
71,MolPort-035-706-067,COc1cc(ccc1O)[C@H](O)[C@@H](COC(=O)\C=C\c1ccc(O)cc1)Oc1c(OC)cc(\C=C\COC(=O)\C=C\c2ccc(O)cc2)cc1OC,999.0,0.2887650827566783,-0.0322063863277435,False,698.7210000000002,51,51,5.836600000000006,4,12,16,False
72,MolPort-035-706-094,OCC[C@@]1(O)CC[C@H](O)CC1,999.0,0.2457757145166397,1.7246237993240356,False,160.21299999999997,11,11,0.0347999999999997,3,3,2,False
73,MolPort-035-706-238,CC(=O)O[C@@H]1C\C(C)=C\CC\C(C)=C\[C@H]2OC(=O)C(=C)[C@H]12,999.0,0.407310610016187,-0.2936200276017189,False,290.35900000000004,21,21,3.0924000000000014,0,4,1,False
74,MolPort-035-706-324,CC(C)[C@H]1CC[C@H]2[C@@]1(C)CC[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]21C,999.0,0.1622059345245361,1.315359075864156,False,426.7290000000002,31,31,8.02480000000001,1,1,1,False
75,MolPort-035-706-378,CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC(=O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O,999.0,0.2252635409434636,1.3125242789586384,False,440.6680000000003,32,32,6.907600000000007,1,2,2,False
76,MolPort-035-706-518,C[C@@H](O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,999.0,0.1252051418026288,1.0128233035405476,False,328.4520000000001,24,24,3.4703000000000026,1,3,1,False
77,MolPort-039-052-268,C[C@@]12C[C@@]3(O)OC(O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@]21O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,999.0,0.2996323804060618,0.8297075231870016,False,480.4660000000002,34,34,-1.3574999999999986,5,11,6,False
78,MolPort-039-052-291,COc1c2OCOc2cc2C[C@H](C)[C@H](C)Cc3cc4OCOc4c(OC)c3-c12,999.0,0.2540893008311589,2.0533613761266074,False,384.4280000000002,28,28,4.199000000000003,0,6,2,False
79,MolPort-039-052-320,C[C@@H]1CC[C@@]2(O)C(C)(C)[C@@H]3CC[C@@]2(C)[C@H]1C3,999.0,0.1303120528658231,1.4785199165344238,False,222.372,16,16,3.6098000000000026,1,1,0,False
80,MolPort-039-052-623,COc1c(O)c2CCCC[C@@H](O)CCc3ccc(O)c(c3)-c(c2)c1OC,999.0,0.277841438849767,1.6671189069747925,False,358.4340000000001,26,26,3.8019000000000034,3,5,2,False
81,MolPort-039-142-006,CC(C)=CCc1c(O)cc(O)c2C(=O)[C@H](O)[C@H](Oc12)c1ccccc1,999.0,0.4727757076422373,0.1944589962561925,False,340.37500000000006,25,25,3.283800000000002,3,5,3,False
82,MolPort-039-338-249,COc1c2C[C@@H](COc2cc2OC(C)(C)C=Cc12)c1ccc(O)cc1O,999.0,0.495414674282074,-0.239930972456932,False,354.40200000000004,26,26,4.009300000000005,2,5,2,False
83,MolPort-039-338-250,CC(=O)O[C@@H]([C@@H](O)[C@H]1CC=CC(=O)O1)c1ccccc1,999.0,0.4101984997590382,0.8766680757204691,False,276.28799999999995,20,20,1.5234,1,5,4,False
84,MolPort-039-338-313,C[C@@]12CCC[C@](C)([C@H]1CC[C@@]13C[C@@H](CC[C@@H]21)C(CO)=C3)C(O)=O,999.0,0.1224355275432268,1.0697529713312786,False,318.457,23,23,4.012500000000003,2,2,2,False
85,MolPort-039-338-352,C\C=C1/C[C@@H](C)[C@@](C)(O)C(=O)OC[C@H]2CCN3CC[C@@H](OC1=O)[C@@H]23,999.0,0.0975287978847821,0.8680218458175659,False,337.41600000000005,24,24,1.2727,1,6,0,False
86,MolPort-039-338-353,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,999.0,0.1303349112470944,0.9798812866210938,False,472.7100000000003,34,34,6.204400000000006,3,3,1,False
87,MolPort-039-338-489,C[C@@H]1C[C@@H]2[C@H](C3C=C(C)[C@@H](OC(=O)c4ccccc4)[C@]4(O)[C@@H](OC(C)=O)C(C)=CC14C3=O)C2(C)C,999.0,0.2051048576831817,-0.1975937038660049,False,478.5850000000003,35,35,4.278300000000003,1,6,3,False
88,MolPort-039-338-554,COc1cc(O)c(cc1C\C=C(/C)CCC=C(C)C)-c1cc2ccc(O)cc2o1,999.0,0.4924841423829396,1.0763698021570842,False,392.4950000000001,29,29,6.754800000000007,2,4,7,False
89,MolPort-039-338-579,CC(C)=CCC\C(C)=C\Cc1c(O)ccc(C2CC(=O)c3c(O)cc(O)cc3O2)c1O,999.0,0.5000121494134268,-0.4381134808063507,False,424.49300000000017,31,31,5.450700000000007,4,6,6,False
90,MolPort-039-338-682,COC(=O)[C@@]1(O)C[C@@H](O)[C@H](O)[C@@H](C1)OC(=O)\C=C\c1ccc(O)c(OC)c1,999.0,0.4424247244993846,0.396702378988266,False,382.3650000000001,27,27,-0.2545000000000008,4,9,5,False
91,MolPort-039-338-702,CC(C)=CCCC1(C)Oc2c(ccc(O)c2C=C1)-c1oc2cc(O)cc(O)c2c(=O)c1CC=C(C)C,999.0,0.4242588877677917,0.5085020661354065,False,488.5800000000003,36,36,6.996200000000008,3,6,6,False
92,MolPort-039-338-729,CCCCCC(CC(CCc1ccc(O)c(OC)c1)OC(C)=O)OC(C)=O,999.0,0.2016467750072479,0.5109911958376566,False,380.48100000000017,27,27,4.167200000000004,1,6,12,False
93,MolPort-039-338-857,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](OC(=O)\C=C/c6ccc(O)cc6)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,999.0,0.0946216061711311,0.7669421235720316,False,618.8550000000001,45,45,8.17430000000001,3,5,4,False
94,MolPort-039-338-907,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1C=CCC2(C)C,999.0,0.4161487221717834,0.940712591012319,False,294.35,22,22,3.523900000000002,0,3,0,True
95,MolPort-039-338-931,COc1cc2[C@H](OC(=O)c3ccccc3)[C@@H](C)[C@@H](C)Cc3cc4OCOc4c(OC)c3-c2c(OC)c1OC,999.0,0.2145006780823072,0.8255465030670166,False,520.5780000000004,38,38,5.843100000000007,0,8,6,False
96,MolPort-039-338-941,CC(C)=CCC[C@]1(C)Oc2c(CC=C(C)C)c3O[C@@]45C6C[C@@H]([C@H](O)[C@H]4C(=O)c3c(O)c2C=C1)C(=O)C5(C\C=C(/C)C(O)=O)OC6(C)C,999.0,0.4569630622863769,0.1771429230769475,False,646.7770000000003,47,47,6.290000000000008,3,8,8,False
97,MolPort-044-181-074,COC(=O)[C@@H]1C[C@]23CCCN4CC[C@]5([C@H]24)c2ccccc2N(C(C)=O)[C@]15CC3,999.0,0.1190601885318756,1.451188564300537,False,380.48800000000017,28,28,2.8709000000000016,0,4,1,False
98,MolPort-044-637-532,CC(C)C12CCC(C)(O1)C(CC\C(C)=C/CC\C(C)=C\C2)OC(C)=O,999.0,0.0598481185734272,1.3838773171106975,False,348.5270000000001,25,25,5.738700000000006,0,3,2,False
99,MolPort-044-754-125,COc1cc2O[C@]3(Oc4cc(O)c(C)c(OC)c4[C@H](C3O)c2c2O[C@@H](CCc12)c1ccccc1)c1ccccc1,999.0,0.3347425113121668,0.1516875922679901,False,538.5960000000003,40,40,5.914720000000006,2,7,4,False
100,MolPort-044-831-090,OC1CC(O)c2ccccc2C1O,999.0,0.5425878961881002,1.4593490362167358,False,180.203,13,13,0.518,3,3,0,False
